step time minX maxX minY maxY width height area
100 1.0000 -0.1915 20.2612 -0.4569 15.2674 20.4527 15.7243 321.6049
101 1.0100 -0.1873 20.2576 -0.4548 15.2581 20.4448 15.7129 321.2478
102 1.0200 -0.1832 20.2539 -0.4526 15.2487 20.4371 15.7013 320.8903
103 1.0300 -0.1794 20.2502 -0.4504 15.2392 20.4295 15.6897 320.5325
104 1.0400 -0.1757 20.2464 -0.4482 15.2296 20.4221 15.6778 320.1744
105 1.0500 -0.1722 20.2426 -0.4460 15.2199 20.4148 15.6659 319.8161
106 1.0600 -0.1689 20.2388 -0.4438 15.2100 20.4076 15.6538 319.4575
107 1.0700 -0.1657 20.2348 -0.4415 15.2001 20.4006 15.6416 319.0985
108 1.0800 -0.1628 20.2309 -0.4393 15.1900 20.3936 15.6293 318.7389
109 1.0900 -0.1599 20.2268 -0.4370 15.1799 20.3868 15.6169 318.3784
110 1.1000 -0.1572 20.2228 -0.4347 15.1697 20.3800 15.6044 318.0168
111 1.1100 -0.1546 20.2186 -0.4324 15.1594 20.3732 15.5918 317.6537
112 1.1200 -0.1520 20.2144 -0.4301 15.1490 20.3664 15.5790 317.2890
113 1.1300 -0.1495 20.2101 -0.4277 15.1385 20.3596 15.5662 316.9223
114 1.1400 -0.1470 20.2057 -0.4253 15.1280 20.3528 15.5533 316.5534
115 1.1500 -0.1445 20.2013 -0.4230 15.1174 20.3458 15.5404 316.1821
116 1.1600 -0.1420 20.1968 -0.4206 15.1068 20.3388 15.5274 315.8084
117 1.1700 -0.1394 20.1923 -0.4181 15.0962 20.3316 15.5143 315.4320
118 1.1800 -0.1367 20.1876 -0.4157 15.0856 20.3243 15.5013 315.0532
119 1.1900 -0.1339 20.1829 -0.4132 15.0750 20.3168 15.4882 314.6719
120 1.2000 -0.1311 20.1781 -0.4108 15.0644 20.3092 15.4752 314.2883
121 1.2100 -0.1280 20.1733 -0.4083 15.0539 20.3013 15.4622 313.9027
122 1.2200 -0.1249 20.1683 -0.4058 15.0435 20.2932 15.4492 313.5153
123 1.2300 -0.1216 20.1633 -0.4033 15.0331 20.2849 15.4364 313.1266
124 1.2400 -0.1182 20.1583 -0.4007 15.0230 20.2764 15.4237 312.7370
125 1.2500 -0.1145 20.1531 -0.3982 15.0129 20.2676 15.4111 312.3470
126 1.2600 -0.1108 20.1479 -0.3956 15.0031 20.2586 15.3987 311.9573
